WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
1/02/2015 16:00,15.3,239,23,0.1,1008.8,1012.1,1012.4,0,41,5,619,31.3,28.6,28.3,28.2,8,30.08
8/01/2015 16:10,15.3,243,23,0.1,1008.8,1012.1,1012.4,0,40.5,6,461,31.4,28.6,28.3,28.2,8,30.3
12/03/2015 16:20,15.9,232,22,0.1,1008.7,1012,1012.3,0,42.1,5,403,31.5,28.7,28.3,28.1,8,30.26
6/05/2015 16:30,16.3,241,20,0.1,1008.7,1012,1012.3,0,43,5,282,31.6,28.8,28.3,28.2,7,30.34
18/11/2015 16:40,16.7,244,21,0.1,1008.7,1012,1012.3,0,43.2,6,575,31.7,28.8,28.3,28.2,8,30.7
9/06/2015 16:50,16.6,240,30,0,1008.7,1012,1012.3,0,43.6,6,458,31.8,28.9,28.3,28.1,9,30.35
18/04/2015 17:00,16.8,236,23,0.1,1008.8,1012.1,1012.4,0,44.9,6,420,31.9,29,28.3,28.2,10,30.11
18/07/2015 17:10,16.5,235,26,0.1,1008.8,1012.1,1012.4,0,48.9,7,388,32,29.1,28.3,28.1,14,28.33
18/12/2015 17:20,16.9,238,30,0,1008.8,1012.1,1012.4,0,50.7,6,317,32.1,29.1,28.3,28.1,11,28.09
19/08/2015 17:30,15.9,232,32,0.1,1008.9,1012.3,1012.5,0,49.8,6,314,32.2,29.2,28.3,28.2,10,27.36
18/08/2015 17:40,16.6,231,25,0,1008.8,1012.2,1012.4,0,50.1,5,315,32.2,29.2,28.3,28.2,9,27.98
18/10/2015 17:50,16.4,227,22,0.1,1008.8,1012.2,1012.4,0,49.6,4,226,32.3,29.3,28.3,28.2,8,27.95
